weight,table_percent,price,depth_percent,quality_EN_Fair,quality_EN_Good,quality_EN_Ideal,quality_EN_Premium,quality_EN_Very Good,color_EN_D,color_EN_E,color_EN_F,color_EN_G,color_EN_H,color_EN_I,color_EN_J,clarity_EN_I1,clarity_EN_IF,clarity_EN_SI1,clarity_EN_SI2,clarity_EN_VS1,clarity_EN_VS2,clarity_EN_VVS1,clarity_EN_VVS2
0.41,0.55,7.266,0.623,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.42,0.57,7.074,0.616,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.12,0.58,8.456,0.619,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,0.59,8.606,0.621,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,0.61,7.033,0.609,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,0.55,6.385,0.624,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.56,0.57,7.633,0.615,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,0.54,6.04,0.619,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.72,0.56,7.525,0.617,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.08,0.57,8.573,0.634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,0.57,6.347,0.631,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,0.55,6.852,0.619,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.7,0.56,7.631,0.62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.53,0.57,9.626,0.611,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0,0.56,8.361,0.649,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.37,0.56,7.025,0.613,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,0.56,6.797,0.614,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.7,0.59,9.09,0.619,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.32,0.55,6.356,0.63,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.54,0.6,7.866,0.627,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,0.57,6.579,0.605,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,0.55,8.971,0.619,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,0.56,8.179,0.612,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.22,0.59,8.837,0.618,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.61,0.6,9.412,0.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,0.58,8.115,0.625,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,0.58,5.961,0.624,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,0.55,7.483,0.615,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.56,8.094,0.625,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.3,0.6,6.654,0.618,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,0.55,8.302,0.634,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.38,0.55,7.268,0.627,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.42,0.56,6.931,0.621,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.74,0.56,7.93,0.617,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,0.57,7.71,0.619,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.61,0.62,7.261,0.598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,0.56,8.384,0.62,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.28,0.56,8.936,0.622,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.26,0.58,8.976,0.633,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.4,0.6,7.09,0.625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,0.59,6.528,0.627,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3,0.57,6.564,0.613,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.81,0.55,8.039,0.621,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,0.55,6.554,0.627,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,0.57,7.432,0.624,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.76,0.56,8.384,0.617,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.44,0.6,6.898,0.61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.72,0.56,8.195,0.614,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.03,0.56,8.469,0.628,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,0.6,7.406,0.618,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.7,0.59,7.73,0.63,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.1,0.6,9.133,0.614,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,0.55,6.594,0.613,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.78,0.64,7.777,0.639,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.13,0.59,9.09,0.593,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.56,0.57,7.364,0.623,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.77,0.55,7.834,0.626,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.51,0.55,7.072,0.629,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2.09,0.64,9.357,0.572,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.36,0.57,6.959,0.628,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.26,0.57,9.568,0.611,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.33,0.59,6.918,0.617,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.51,0.55,6.974,0.635,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,0.59,6.687,0.629,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,0.6,7.726,0.607,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.35,0.59,6.669,0.611,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,0.57,6.649,0.612,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,0.6,6.41,0.616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.54,0.56,7.621,0.618,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.38,0.55,6.515,0.614,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.08,0.58,9.231,0.61,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.28,0.55,9.078,0.617,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.08,0.56,8.585,0.618,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.5,0.59,9.131,0.628,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.39,0.59,6.962,0.614,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,0.58,8.382,0.626,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9,0.58,8.436,0.622,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.84,0.58,9.54,0.597,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.79,0.57,7.696,0.591,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.61,0.62,9.287,0.609,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.12,0.57,9.119,0.609,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.31,0.56,6.574,0.612,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.31,0.56,6.465,0.61,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,0.58,8.639,0.629,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.7,0.61,7.86,0.629,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.07,0.59,8.443,0.618,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.33,0.56,6.55,0.614,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.4,0.6,7.188,0.607,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.57,7.27,0.633,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,0.64,6.865,0.585,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.56,0.57,7.154,0.613,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.41,0.57,7.071,0.597,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.03,0.6,8.098,0.584,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,0.55,7.508,0.626,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,0.56,6.654,0.611,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9,0.58,8.236,0.63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.61,0.57,7.245,0.61,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.26,0.57,8.655,0.622,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,0.59,8.893,0.589,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,0.59,6.816,0.593,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,0.55,6.118,0.613,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0.58,8.514,0.604,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.58,0.57,9.515,0.61,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.01,0.6,9.748,0.599,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.32,0.56,6.631,0.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,0.62,9.476,0.608,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.27,0.57,9.379,0.618,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,0.58,9.302,0.634,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.5,0.57,7.093,0.608,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.51,0.59,9.029,0.611,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.62,0.55,7.508,0.622,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.68,0.57,8.943,0.592,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.01,0.59,8.518,0.634,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.28,0.57,8.681,0.614,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.5,0.55,7.394,0.617,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.66,0.59,7.701,0.604,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,0.56,8.726,0.627,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.31,0.57,6.299,0.62,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.31,0.57,7.052,0.601,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.58,0.57,7.911,0.616,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.4,0.58,6.782,0.631,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9,0.56,8.62,0.621,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.5,0.6,9.079,0.621,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.17,0.59,9.204,0.617,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,0.63,9.705,0.612,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9,0.6,8.307,0.618,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.72,0.65,8.054,0.613,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.71,0.57,8.05,0.604,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.56,0.57,8.963,0.624,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,0.54,7.853,0.631,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.52,0.58,7.656,0.611,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.71,0.58,7.597,0.641,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.11,0.57,8.457,0.619,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.27,0.56,8.646,0.623,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.24,0.55,6.163,0.631,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.05,0.59,8.333,0.63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.01,0.6,8.354,0.625,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,0.55,7.706,0.618,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.42,0.59,6.865,0.609,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,0.56,6.621,0.611,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.11,0.55,8.586,0.612,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.65,0.58,8.98,0.615,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.81,0.57,8.04,0.636,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.81,0.551,8.325,0.618,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.08,0.58,9.637,0.612,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.55,0.56,9.131,0.626,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,0.54,6.658,0.613,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.55,0.55,7.447,0.62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,0.62,6.227,0.616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.56,0.58,8.912,0.596,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.7,0.61,7.99,0.61,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,0.58,6.461,0.615,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,0.58,6.611,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.72,0.58,7.662,0.618,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,0.62,7.822,0.593,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.04,0.59,9.011,0.623,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,0.55,6.286,0.632,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.02,0.6,8.476,0.62,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,0.57,6.299,0.634,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.12,0.55,8.773,0.616,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.58,8.508,0.619,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,0.56,6.501,0.621,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.55,0.56,7.186,0.621,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.2,0.58,8.799,0.613,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.51,0.59,9.282,0.616,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.54,0.58,7.442,0.612,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,0.58,6.474,0.613,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.33,0.59,6.75,0.614,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.54,0.56,7.593,0.621,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,0.55,6.849,0.617,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,0.6,6.142,0.609,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.41,0.61,6.792,0.58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.72,0.58,7.807,0.622,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.43,0.56,7.169,0.615,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.9,0.56,8.267,0.611,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.3,0.54,6.373,0.666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,0.58,8.717,0.624,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.5,0.6,8.868,0.621,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.56,0.57,7.53,0.611,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,0.54,6.41,0.624,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,0.57,7.447,0.631,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.2,0.59,8.695,0.629,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,0.55,7.672,0.622,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.38,0.54,6.906,0.624,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.43,0.56,6.97,0.615,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,0.55,7.19,0.621,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.31,0.56,6.771,0.618,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.04,0.58,8.338,0.623,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.26,0.59,9.056,0.615,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3,0.55,6.314,0.622,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.56,0.58,9.406,0.615,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43,0.57,6.875,0.61,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,0.61,7.102,0.596,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.27,0.55,6.339,0.628,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.78,0.56,8.207,0.622,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.53,0.56,7.482,0.632,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.06,0.58,8.515,0.621,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.4,0.59,6.844,0.631,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.59,0.56,7.227,0.635,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.08,0.56,8.223,0.635,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,0.55,8.68,0.628,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.4,0.58,6.898,0.617,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,0.57,6.735,0.626,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,0.54,6.628,0.627,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.58,0.55,7.249,0.585,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.1,0.58,8.362,0.618,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.71,0.61,7.847,0.58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.33,0.6,6.649,0.591,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.25,0.6,6.075,0.615,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.25,0.57,6.282,0.619,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.59,8.679,0.625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,0.59,8.024,0.628,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.32,0.56,6.579,0.614,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.51,0.56,7.472,0.627,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.51,0.57,9.354,0.622,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.03,0.59,9.812,0.613,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
