weight,quality,color,clarity,depth_percent,table_percent,price,volume
0.56,Ideal,D,VS2,0.615,0.57,7.633,91.744224
0.32,Ideal,H,SI2,0.619,0.54,6.04,54.2113
0.72,Ideal,J,SI1,0.617,0.56,7.525,119.679609
1.08,Very Good,H,SI1,0.634,0.57,8.573,176.262156
0.31,Good,D,SI1,0.631,0.57,6.347,50.526720000000005
0.33,Ideal,G,IF,0.619,0.55,6.852,54.334500000000006
0.7,Ideal,E,SI2,0.62,0.56,7.631,116.35267
0.37,Ideal,D,VS2,0.613,0.56,7.025,60.40351999999999
0.3,Ideal,E,VVS1,0.614,0.56,6.797,50.522007
1.7,Very Good,J,SI1,0.619,0.59,9.09,273.12159599999995
0.32,Ideal,I,VS2,0.63,0.55,6.356,52.39465
0.54,Premium,E,VS1,0.627,0.6,7.866,84.14693999999999
0.34,Ideal,G,VS1,0.606,0.57,6.579,56.8051
1.22,Ideal,H,SI1,0.619,0.55,8.971,198.658416
0.7,Very Good,D,VS1,0.612,0.56,8.179,114.31
1.22,Premium,F,SI1,0.618,0.59,8.837,198.19157400000003
1.61,Premium,D,SI1,0.59,0.6,9.412,263.23968
0.71,Very Good,E,VS2,0.625,0.58,8.115,116.395209
0.32,Very Good,I,SI1,0.624,0.58,5.961,54.605564
0.54,Ideal,E,SI1,0.615,0.55,7.483,89.026552
1.0,Ideal,I,SI2,0.625,0.56,8.094,161.24174
0.3,Premium,G,VS1,0.618,0.6,6.654,49.29724800000001
1.0,Very Good,F,SI2,0.634,0.55,8.302,161.57987999999995
0.38,Ideal,E,IF,0.627,0.55,7.268,62.648517000000005
0.42,Ideal,E,VS2,0.621,0.56,6.931,68.00112
0.74,Ideal,E,SI1,0.617,0.56,7.93,121.60048
0.7,Ideal,F,SI1,0.619,0.57,7.71,114.88385
0.61,Good,D,SI2,0.598,0.62,7.261,99.701476
1.21,Ideal,F,I1,0.62,0.56,8.384,196.74576
1.28,Ideal,G,SI1,0.622,0.56,8.936,206.98344
1.26,Very Good,G,SI1,0.633,0.58,8.976,204.236928
0.4,Premium,D,VS1,0.625,0.6,7.09,64.445936
0.3,Premium,H,VVS1,0.627,0.59,6.528,50.03856000000001
0.3,Ideal,I,VVS1,0.613,0.57,6.564,49.56931
0.81,Ideal,E,SI2,0.621,0.55,8.039,131.42844000000002
0.32,Ideal,E,VS2,0.627,0.55,6.554,52.32523200000001
0.51,Ideal,G,VS1,0.624,0.57,7.432,83.45996999999998
0.76,Ideal,D,VS1,0.617,0.56,8.384,123.753688
0.44,Premium,G,SI1,0.61,0.6,6.898,71.934616
0.72,Ideal,D,VS1,0.614,0.56,8.195,120.50892
1.03,Ideal,D,SI2,0.628,0.56,8.469,168.22808999999998
0.6,Premium,G,SI1,0.618,0.6,7.406,95.916792
0.7,Very Good,G,SI1,0.63,0.59,7.73,113.84452799999998
1.1,Very Good,G,VVS1,0.614,0.6,9.133,178.89807100000002
0.3,Ideal,F,VS1,0.613,0.55,6.594,50.101632000000016
1.13,Premium,G,VVS1,0.593,0.59,9.09,188.921565
0.56,Ideal,D,SI1,0.623,0.57,7.364,90.129048
0.77,Premium,I,VS1,0.626,0.55,7.834,127.0152
0.51,Premium,I,VS2,0.629,0.55,7.072,83.49081600000001
0.36,Ideal,G,VVS1,0.628,0.57,6.959,58.6131
1.26,Ideal,E,VVS2,0.611,0.57,9.568,208.6322
0.33,Premium,H,IF,0.617,0.59,6.918,54.01499
0.51,Very Good,I,SI1,0.635,0.55,6.974,83.681871
0.31,Premium,F,VS2,0.629,0.59,6.687,49.80528
0.71,Very Good,H,SI1,0.607,0.6,7.726,115.186752
0.35,Premium,E,SI1,0.611,0.59,6.669,56.8404
0.31,Ideal,G,VVS1,0.614,0.57,6.649,51.413924
0.3,Premium,I,VS1,0.616,0.6,6.41,48.47304
0.54,Ideal,D,VS2,0.618,0.56,7.621,88.96230000000001
0.38,Ideal,I,VS2,0.614,0.55,6.515,62.724998000000014
1.08,Very Good,F,VVS1,0.61,0.58,9.231,177.317216
1.28,Ideal,H,VVS1,0.617,0.55,9.078,210.585307
1.08,Ideal,G,SI1,0.618,0.56,8.585,174.98193999999998
1.5,Premium,J,VS1,0.628,0.59,9.131,238.488705
0.39,Very Good,D,VVS2,0.614,0.59,6.962,64.11089300000002
1.01,Very Good,H,SI1,0.626,0.58,8.382,163.3184
0.9,Premium,D,SI1,0.622,0.58,8.436,144.242436
1.84,Premium,H,SI1,0.597,0.58,9.54,304.897446
0.79,Premium,J,SI1,0.591,0.57,7.696,132.272832
1.61,Good,E,SI2,0.609,0.62,9.287,258.642676
1.12,Premium,G,IF,0.609,0.57,9.119,185.96452
0.31,Ideal,F,VVS2,0.612,0.56,6.574,52.628400000000006
0.31,Ideal,G,VS1,0.61,0.56,6.465,51.1038
1.22,Premium,I,VS2,0.629,0.58,8.639,195.534
0.7,Good,F,VS2,0.629,0.61,7.86,111.29384
1.07,Premium,F,SI2,0.618,0.59,8.443,173.75350500000002
0.33,Ideal,G,VS1,0.615,0.56,6.55,54.624640000000014
0.4,Premium,D,VVS2,0.607,0.6,7.188,65.47930800000002
0.5,Good,F,VS2,0.633,0.57,7.27,81.028233
0.56,Ideal,F,SI2,0.614,0.57,7.154,92.09174
0.41,Ideal,D,VS2,0.597,0.57,7.071,68.35531999999999
0.54,Ideal,E,VS1,0.626,0.55,7.508,88.48943999999999
0.3,Ideal,F,VS2,0.611,0.56,6.654,49.268472
0.9,Premium,G,SI1,0.629,0.58,8.236,140.50800399999997
0.61,Ideal,I,SI2,0.611,0.57,7.245,100.117836
1.26,Very Good,H,SI2,0.622,0.57,8.655,202.58952
1.22,Premium,H,VS1,0.589,0.59,8.893,201.299904
0.4,Premium,E,VS2,0.593,0.59,6.816,65.16010799999998
0.34,Ideal,E,SI2,0.613,0.55,6.118,56.01364799999999
1.0,Premium,H,VS2,0.604,0.58,8.514,164.854032
1.58,Ideal,E,SI1,0.61,0.57,9.515,259.90875
0.32,Ideal,D,VS2,0.61,0.56,6.631,53.422772
2.0,Very Good,J,VS2,0.608,0.62,9.476,323.855644
1.27,Ideal,E,VS1,0.618,0.57,9.379,208.29716
1.5,Very Good,F,SI1,0.634,0.58,9.302,234.5616
0.5,Ideal,F,SI2,0.609,0.57,7.093,82.853604
1.51,Ideal,I,SI1,0.611,0.59,9.029,245.96638
0.62,Premium,G,VS2,0.622,0.55,7.508,102.588486
1.68,Premium,J,SI2,0.5920000000000001,0.57,8.943,278.05896
0.52,Ideal,G,VS1,0.616,0.54,7.451,87.90728800000001
1.01,Very Good,E,SI1,0.634,0.59,8.518,163.010276
1.28,Ideal,G,SI2,0.614,0.57,8.681,208.22371200000003
0.5,Ideal,H,VS2,0.617,0.55,7.394,82.998664
0.66,Very Good,G,VVS2,0.605,0.59,7.701,111.567456
1.01,Very Good,F,VS2,0.627,0.56,8.726,164.24599099999998
0.31,Ideal,G,VS2,0.62,0.57,6.299,51.20766
0.31,Ideal,F,IF,0.602,0.57,7.052,51.53508000000001
0.58,Ideal,F,VVS1,0.616,0.57,7.911,94.62882
0.4,Very Good,F,SI1,0.631,0.58,6.782,64.47343000000001
0.9,Ideal,G,VS1,0.621,0.56,8.62,145.80235500000003
1.5,Premium,F,SI1,0.621,0.6,9.079,241.070292
1.17,Premium,D,VS1,0.617,0.59,9.204,189.256704
1.5,Very Good,D,VS1,0.612,0.63,9.705,238.204512
0.9,Very Good,E,SI1,0.618,0.6,8.307,145.03907999999998
0.71,Ideal,D,VS2,0.604,0.57,8.05,117.5349
1.56,Ideal,J,VS2,0.624,0.57,8.963,255.249122
0.71,Very Good,G,VS2,0.631,0.54,7.853,115.08984
0.52,Very Good,G,VVS1,0.611,0.58,7.656,86.15192400000001
0.71,Very Good,J,VS1,0.6409999999999999,0.58,7.597,114.424365
1.11,Ideal,I,SI1,0.619,0.57,8.457,181.478694
1.27,Premium,I,SI1,0.623,0.56,8.646,203.648445
0.24,Very Good,D,SI1,0.631,0.55,6.163,39.757145
1.05,Very Good,H,SI2,0.63,0.59,8.333,169.84598400000004
1.01,Premium,G,SI2,0.625,0.6,8.354,161.240148
0.7,Premium,D,SI2,0.618,0.55,7.706,114.163456
0.42,Premium,E,VS2,0.609,0.59,6.865,68.58578999999999
0.34,Ideal,H,VVS1,0.611,0.56,6.621,56.96671199999999
1.11,Ideal,E,SI2,0.612,0.55,8.586,184.04736
1.65,Very Good,J,SI1,0.615,0.58,8.98,265.39317000000005
0.81,Very Good,H,VS1,0.636,0.57,8.04,129.52742
0.81,Ideal,G,VVS2,0.617,0.551,8.325,133.778148
1.55,Ideal,I,VS2,0.626,0.56,9.131,251.62137
0.32,Ideal,E,VVS2,0.613,0.54,6.658,53.499680000000005
0.55,Ideal,E,VS2,0.62,0.55,7.447,90.195072
0.3,Premium,I,SI1,0.616,0.62,6.227,48.47304
1.56,Very Good,J,SI1,0.596,0.58,8.912,258.443295
0.7,Good,E,VS1,0.61,0.61,7.99,113.262864
0.3,Very Good,E,VS2,0.615,0.58,6.461,48.699552
0.33,Premium,G,VS2,0.6,0.58,6.611,53.989107
0.72,Premium,E,SI2,0.617,0.58,7.662,118.315176
0.7,Premium,G,VS1,0.593,0.62,7.822,113.85864
1.04,Very Good,D,VS1,0.623,0.59,9.011,166.04287200000002
0.34,Good,H,VS2,0.632,0.55,6.286,56.798100000000005
1.02,Premium,H,SI1,0.62,0.6,8.476,161.44128
0.31,Good,E,SI1,0.634,0.57,6.299,51.134702
1.12,Ideal,E,SI1,0.616,0.55,8.773,183.12269400000005
1.0,Very Good,H,SI1,0.619,0.58,8.508,157.31352
0.33,Ideal,G,VS1,0.621,0.56,6.501,53.28752000000001
0.55,Premium,G,SI1,0.621,0.56,7.186,89.850816
1.2,Premium,H,VS1,0.613,0.58,8.799,195.457215
1.51,Premium,G,SI1,0.616,0.59,9.282,240.462
0.54,Very Good,E,VS2,0.612,0.58,7.442,88.303248
0.32,Premium,I,VS1,0.613,0.58,6.474,51.17861999999999
0.33,Premium,G,VS1,0.614,0.59,6.75,54.500518
0.54,Ideal,G,VVS2,0.621,0.56,7.593,87.506514
0.3,Ideal,E,IF,0.617,0.55,6.849,49.943418
0.31,Premium,J,SI1,0.609,0.6,6.142,50.79748800000001
0.72,Ideal,H,SI1,0.622,0.58,7.807,117.62150399999996
0.43,Ideal,H,VVS1,0.615,0.56,7.169,71.2962
0.9,Very Good,F,SI1,0.611,0.56,8.267,150.32367000000002
1.01,Premium,G,VS2,0.624,0.58,8.717,163.17424200000002
1.5,Premium,G,SI2,0.621,0.6,8.868,242.595808
0.56,Premium,E,VS2,0.611,0.57,7.53,93.768558
0.33,Ideal,D,SI1,0.624,0.54,6.41,54.041904
0.5,Very Good,D,VS1,0.631,0.57,7.447,79.884
1.2,Premium,G,VS1,0.629,0.59,8.695,191.01622500000005
0.7,Very Good,I,SI1,0.622,0.55,7.672,111.847554
0.38,Ideal,F,VS1,0.624,0.54,6.906,63.19123199999999
0.43,Ideal,D,SI1,0.615,0.56,6.97,69.950732
0.42,Ideal,D,VVS2,0.621,0.55,7.19,68.658902
0.31,Ideal,E,VS2,0.618,0.56,6.771,50.901256
1.04,Very Good,F,SI2,0.623,0.58,8.338,168.69580000000002
1.26,Ideal,E,SI1,0.615,0.59,9.056,205.656864
0.3,Ideal,D,SI1,0.622,0.55,6.314,49.78287600000001
1.56,Premium,E,VS2,0.615,0.58,9.406,254.199618
0.43,Premium,F,VS2,0.61,0.57,6.875,69.76956799999999
0.5,Good,F,SI1,0.596,0.61,7.102,81.578496
0.27,Very Good,G,VVS1,0.629,0.55,6.339,44.56270000000001
0.78,Very Good,D,VS2,0.622,0.56,8.207,126.53901
0.53,Good,E,VS1,0.632,0.56,7.482,86.79815199999999
1.06,Ideal,G,SI2,0.621,0.58,8.515,171.213988
0.4,Very Good,F,VS1,0.631,0.59,6.844,63.84268799999999
0.59,Ideal,G,SI1,0.634,0.56,7.227,95.837872
1.08,Very Good,E,SI2,0.635,0.56,8.223,174.758472
1.21,Ideal,H,VS2,0.628,0.55,8.68,194.49955
0.4,Premium,D,SI1,0.617,0.58,6.898,64.82898000000002
0.41,Ideal,D,SI2,0.626,0.57,6.735,66.867768
0.32,Ideal,D,SI1,0.627,0.54,6.628,52.877
1.1,Very Good,J,SI2,0.618,0.58,8.362,178.97021999999998
0.33,Very Good,F,VS1,0.591,0.6,6.649,53.863936
0.25,Premium,E,VS1,0.615,0.6,6.075,40.277184
0.25,Ideal,E,VS2,0.621,0.57,6.282,40.803
1.0,Premium,D,SI1,0.625,0.59,8.679,160.07675200000003
0.7,Very Good,F,VS1,0.628,0.59,8.024,114.44866000000002
0.32,Ideal,G,VS2,0.614,0.56,6.579,51.605767
0.51,Ideal,E,VS1,0.627,0.56,7.472,84.14693999999999
1.51,Ideal,H,VS2,0.622,0.57,9.354,243.132435
1.02,Ideal,I,SI1,0.62,0.56,8.463,166.4096
1.04,Very Good,G,SI1,0.618,0.59,8.531,171.313285
0.37,Ideal,F,VVS1,0.615,0.56,6.836,59.882517
0.43,Ideal,G,VS1,0.619,0.55,6.849,70.5672
0.3,Ideal,G,VVS2,0.618,0.57,6.745,49.828341
0.5,Good,J,SI1,0.596,0.6,6.866,82.16516
1.56,Premium,G,SI2,0.617,0.59,9.089,257.234773
0.71,Very Good,E,VS1,0.621,0.57,8.009,113.885919
1.25,Ideal,H,SI2,0.616,0.54,8.497,202.9256
0.38,Ideal,H,SI2,0.613,0.54,6.234,63.12852
0.94,Premium,F,SI2,0.622,0.59,8.35,151.951569
0.35,Ideal,F,VS2,0.614,0.55,6.56,58.81329999999999
0.41,Ideal,F,VS2,0.618,0.57,6.76,67.11987500000001
0.31,Ideal,G,VVS1,0.62,0.55,6.671,51.20766
0.32,Premium,F,IF,0.593,0.58,6.985,51.998616000000005
0.36,Premium,H,VS2,0.609,0.59,6.592,59.24688
1.54,Good,H,VS1,0.631,0.57,9.284,252.56940000000003
0.41,Premium,E,SI2,0.621,0.58,6.526,66.55819500000001
0.66,Very Good,H,VS1,0.616,0.581,7.59,105.723144
0.52,Ideal,H,VVS1,0.612,0.57,7.501,85.819932
1.01,Good,G,VVS2,0.624,0.59,8.9,159.42326400000002
1.59,Premium,H,SI1,0.61,0.58,9.086,261.85868
0.6,Ideal,G,VVS2,0.62,0.57,7.761,99.545082
0.26,Ideal,E,VS1,0.618,0.55,6.114,42.904918
0.42,Ideal,I,VS1,0.62,0.55,6.65,70.2765
0.8,Very Good,J,SI1,0.616,0.56,7.707,130.362804
1.76,Very Good,J,SI2,0.609,0.6,9.111,290.339532
1.24,Ideal,J,SI2,0.601,0.57,8.473,206.288316
0.58,Ideal,G,SI2,0.615,0.55,7.151,96.80987199999998
0.74,Ideal,G,SI1,0.613,0.57,8.049,120.92411099999998
0.36,Ideal,H,VS2,0.614,0.57,6.375,60.142311
0.3,Very Good,F,VS2,0.629,0.57,6.405,50.340147
0.71,Very Good,E,SI1,0.631,0.58,7.828,115.09163000000002
1.34,Premium,G,VS2,0.607,0.59,9.137,213.027584
1.01,Premium,E,SI2,0.615,0.58,8.448,162.55040000000002
0.41,Ideal,G,VS2,0.627,0.56,6.967,66.586212
0.9,Very Good,D,SI1,0.628,0.59,8.404,145.99137599999997
0.31,Ideal,G,VVS1,0.608,0.56,6.649,52.552647
0.37,Premium,F,SI2,0.602,0.6,6.436,60.53599999999999
0.71,Premium,D,VS2,0.612,0.59,7.946,114.31210000000002
1.52,Fair,H,SI1,0.6459999999999999,0.55,8.914,242.579096
0.47,Very Good,F,SI1,0.611,0.61,6.929,75.94408499999999
0.55,Ideal,J,SI1,0.609,0.57,7.003,89.14811999999999
0.38,Ideal,G,VVS2,0.623,0.536,6.834,62.97495000000001
1.51,Good,G,VS2,0.642,0.54,9.362,242.20150399999997
1.21,Ideal,I,VS1,0.605,0.58,8.747,200.640245
1.0,Good,E,VVS1,0.634,0.59,9.031,156.4992
0.33,Premium,E,SI1,0.604,0.59,6.611,53.267649
1.39,Premium,G,SI1,0.613,0.59,8.968,228.28806000000003
1.5,Very Good,H,SI2,0.62,0.63,8.894,237.1824
0.53,Ideal,G,VS1,0.615,0.57,7.491,87.467043
0.3,Premium,E,SI1,0.623,0.58,6.515,49.66790400000001
0.3,Premium,I,VVS2,0.61,0.6,6.265,49.49472000000001
0.6,Ideal,E,VS2,0.612,0.56,7.691,98.72784
0.5,Premium,H,SI2,0.61,0.58,6.865,80.72626999999999
0.61,Ideal,G,VS1,0.621,0.56,7.681,99.36377600000002
0.46,Ideal,J,VVS1,0.625,0.56,6.926,74.01063899999998
1.07,Ideal,I,SI1,0.615,0.57,8.657,175.350015
1.01,Very Good,H,SI2,0.634,0.57,8.186,162.750744
0.41,Ideal,G,SI2,0.61,0.57,6.729,67.647254
0.45,Premium,E,VS1,0.608,0.6,7.156,72.37594000000001
0.42,Ideal,I,VVS1,0.625,0.57,6.784,68.45904
0.92,Ideal,I,SI1,0.618,0.57,8.109,151.655625
1.01,Good,E,VS2,0.639,0.59,8.849,161.62181599999997
0.23,Very Good,D,VVS2,0.604,0.59,6.273,37.92
0.54,Ideal,F,VS2,0.628,0.57,7.391,89.544
0.55,Very Good,E,VVS2,0.604,0.56,7.783,93.431232
0.4,Ideal,E,VVS1,0.624,0.57,7.242,64.584232
0.78,Very Good,H,SI2,0.631,0.56,7.761,127.05504
0.9,Very Good,F,SI2,0.626,0.56,8.122,145.615085
0.52,Very Good,D,VS2,0.635,0.57,7.511,84.43569600000001
0.7,Good,F,VVS2,0.631,0.58,7.909,112.5208
0.9,Good,H,VS1,0.635,0.59,8.368,145.08484
0.9,Good,H,SI1,0.621,0.61,8.145,140.191506
1.51,Good,H,SI1,0.622,0.61,9.089,240.4071
1.0,Good,F,SI1,0.636,0.58,8.505,158.2548
1.08,Ideal,G,VS2,0.618,0.55,8.844,177.721128
1.72,Good,F,SI1,0.632,0.61,9.51,276.88032000000004
0.38,Ideal,F,SI2,0.606,0.56,6.718,63.58066
0.9,Good,F,VS2,0.638,0.55,8.368,145.59363
0.36,Very Good,H,VS2,0.61,0.55,6.368,60.927636
0.91,Ideal,F,SI2,0.62,0.56,8.443,148.47140000000002
0.37,Premium,G,SI1,0.621,0.6,6.562,59.439496
0.9,Premium,F,SI2,0.611,0.54,8.148,151.443072
0.5,Ideal,E,VS2,0.604,0.56,7.545,83.982595
1.51,Ideal,G,VVS2,0.623,0.55,9.599,244.33164
0.32,Ideal,H,VS2,0.612,0.55,6.26,53.182395
0.51,Very Good,I,VS2,0.633,0.56,7.039,81.02982799999998
0.41,Ideal,G,VS2,0.627,0.56,6.967,67.377204
0.9,Very Good,E,SI2,0.642,0.54,8.146,145.251808
0.32,Ideal,H,VVS1,0.619,0.55,6.842,51.871026
2.0,Good,G,VS2,0.6409999999999999,0.55,9.792,317.215704
0.91,Premium,D,SI1,0.628,0.57,8.349,145.75514399999997
1.53,Ideal,F,SI1,0.625,0.57,9.352,247.620402
1.19,Premium,H,SI1,0.608,0.59,8.648,195.951636
1.2,Very Good,I,SI1,0.629,0.57,8.559,193.92495
0.7,Ideal,E,SI1,0.616,0.56,8.111,114.76608
0.39,Very Good,G,VVS1,0.627,0.58,6.75,63.89890500000001
0.33,Ideal,H,IF,0.619,0.55,6.766,53.771952000000006
0.53,Ideal,E,VVS2,0.622,0.54,7.729,87.94558800000001
0.34,Premium,E,VS2,0.61,0.59,6.613,55.36115200000001
1.02,Premium,F,VVS2,0.609,0.59,9.08,167.295744
0.55,Ideal,G,VVS2,0.605,0.56,7.575,93.257568
0.3,Ideal,G,IF,0.623,0.55,6.76,50.08511
0.31,Ideal,G,VVS1,0.612,0.56,6.953,50.754564
0.77,Good,E,VS2,0.634,0.57,8.099,124.98768
0.55,Good,F,SI1,0.643,0.579,7.244,89.522388
0.3,Premium,I,VS1,0.588,0.61,6.41,50.254806
1.26,Premium,J,SI1,0.618,0.58,8.533,202.523808
0.8,Ideal,F,VS2,0.621,0.56,8.305,131.20718
0.73,Premium,E,SI1,0.627,0.58,7.902,117.86688
0.27,Very Good,H,VVS2,0.625,0.55,6.223,44.390528
0.5,Very Good,D,SI1,0.619,0.61,7.27,82.35212800000001
1.0,Very Good,G,SI2,0.631,0.63,8.22,156.166164
0.52,Ideal,H,VS1,0.62,0.56,7.377,85.79687999999999
0.75,Very Good,E,VS2,0.604,0.56,8.247,125.88712
0.71,Very Good,E,SI2,0.619,0.63,7.773,115.618524
0.4,Very Good,D,SI1,0.631,0.57,6.829,65.88558900000002
1.56,Ideal,I,VVS2,0.62,0.56,9.257,252.23548
0.29,Very Good,F,VVS1,0.623,0.58,6.498,47.3484
0.9,Very Good,D,VS1,0.63,0.56,8.658,146.98759199999998
1.03,Ideal,F,VS1,0.59,0.55,8.956,173.089168
1.07,Very Good,D,SI1,0.602,0.55,8.7,177.86435199999997
0.28,Very Good,E,VVS1,0.596,0.59,6.465,47.85083
0.59,Ideal,G,VS2,0.626,0.54,7.417,95.88236
0.9,Ideal,D,SI2,0.627,0.57,8.292,144.0576
0.43,Very Good,H,VVS1,0.602,0.55,7.107,72.33138
2.0,Very Good,H,SI1,0.633,0.59,9.785,323.42912799999993
1.01,Premium,H,SI1,0.629,0.58,8.078,161.7968
1.33,Ideal,G,VS1,0.62,0.55,9.263,221.48896
0.31,Ideal,D,SI1,0.62,0.56,6.528,51.75151499999998
0.41,Ideal,E,VVS2,0.623,0.56,7.125,67.43385
1.51,Premium,I,VS1,0.63,0.59,9.16,243.93096
0.3,Premium,I,VS1,0.617,0.58,6.41,48.88296
0.4,Good,J,VS1,0.634,0.58,6.447,62.673872
0.35,Ideal,D,VS2,0.609,0.57,6.72,56.63657999999999
1.26,Premium,I,SI2,0.601,0.59,8.547,202.1866
0.4,Premium,D,VS2,0.617,0.59,6.957,65.96836400000001
0.71,Good,I,VVS2,0.637,0.56,7.733,115.12224
0.71,Premium,E,VVS1,0.627,0.6,8.237,114.641256
1.12,Ideal,F,VVS2,0.614,0.57,9.173,182.67714
1.74,Ideal,J,VS1,0.611,0.56,9.323,292.30417
0.73,Premium,E,VS2,0.62,0.57,7.956,121.51296
0.71,Ideal,F,SI2,0.614,0.55,7.834,117.856512
0.4,Ideal,E,VS2,0.611,0.56,6.816,65.933325
0.41,Very Good,H,SI1,0.6,0.61,6.526,66.35260799999999
0.38,Premium,F,VVS1,0.5920000000000001,0.58,7.136,64.65984
1.33,Good,I,VS1,0.637,0.56,8.848,212.881344
0.4,Ideal,G,VVS1,0.618,0.53,6.965,66.61305
0.7,Very Good,I,VVS1,0.629,0.58,7.829,114.04638
0.37,Ideal,G,IF,0.605,0.56,6.831,61.98266
0.59,Premium,F,SI1,0.622,0.6,7.661,95.311593
0.54,Premium,F,SI1,0.623,0.58,7.434,89.16752
0.7,Very Good,G,VS2,0.631,0.58,7.742,115.29533200000002
0.91,Very Good,H,SI1,0.5920000000000001,0.6,8.294,151.84008
0.31,Good,F,VVS2,0.636,0.55,6.492,50.89741800000001
0.33,Very Good,G,VVS1,0.614,0.6,6.766,52.822236
0.34,Ideal,I,SI1,0.624,0.56,6.129,55.74559500000001
1.1,Ideal,G,VVS2,0.605,0.56,9.129,184.33844
0.5,Very Good,G,SI1,0.6,0.63,7.088,78.7083
0.31,Premium,G,VS2,0.599,0.59,6.299,50.68536
0.27,Very Good,D,VS1,0.632,0.55,6.153,44.51615999999999
0.31,Premium,I,SI1,0.623,0.58,6.286,51.82416
0.5,Good,F,VS2,0.628,0.61,7.277,77.06400000000001
1.26,Premium,G,SI2,0.591,0.59,8.683,208.93521
1.41,Good,H,VS2,0.638,0.6,9.133,226.564096
0.58,Ideal,F,VS1,0.612,0.57,7.59,95.049416
0.53,Premium,D,SI1,0.614,0.58,7.356,86.85984000000002
0.72,Very Good,I,SI2,0.634,0.56,7.553,117.080964
0.32,Ideal,J,VS2,0.622,0.57,5.974,51.94329600000001
0.3,Very Good,H,VS2,0.626,0.58,6.159,48.043856
1.31,Ideal,G,VS1,0.619,0.56,9.22,219.542682
0.53,Ideal,H,SI1,0.626,0.56,6.982,87.516
0.34,Premium,G,SI1,0.597,0.59,6.477,55.161
1.0,Very Good,E,SI1,0.601,0.6,8.677,162.837345
0.53,Ideal,E,SI2,0.608,0.57,7.114,87.756262
0.5,Ideal,H,VS2,0.608,0.56,7.277,84.253422
1.43,Premium,D,VS2,0.626,0.59,9.538,233.797949
0.52,Premium,F,I1,0.63,0.56,6.768,85.762152
0.3,Very Good,I,SI1,0.625,0.57,5.945,49.20748
0.41,Good,H,VS2,0.6409999999999999,0.57,6.592,65.70239999999998
0.93,Premium,F,SI2,0.595,0.6,8.194,154.027116
0.52,Ideal,J,SI1,0.623,0.56,7.241,84.54144000000001
0.9,Good,F,SI1,0.636,0.55,8.458,146.78820000000002
1.09,Ideal,J,VS2,0.62,0.54,8.38,180.389544
0.5,Very Good,D,VS2,0.591,0.59,7.44,83.762448
0.36,Premium,D,VS2,0.618,0.58,6.748,58.76597999999999
0.56,Premium,D,SI2,0.604,0.58,7.236,92.275932
0.43,Premium,D,VS2,0.597,0.59,6.87,70.635561
0.4,Ideal,J,SI1,0.616,0.56,6.417,65.967192
1.3,Good,J,SI1,0.64,0.58,8.564,207.96336
0.41,Very Good,D,VS1,0.617,0.58,6.926,67.4016
0.33,Good,I,SI1,0.636,0.57,6.098,54.33063999999999
0.7,Ideal,G,VS2,0.616,0.56,8.146,114.96672
0.3,Premium,F,VS2,0.616,0.58,6.405,48.998235
0.3,Premium,D,VS2,0.628,0.59,6.815,48.863904000000005
1.73,Ideal,I,VS2,0.61,0.56,9.508,284.456524
0.28,Ideal,G,VS1,0.621,0.55,6.194,47.16904999999999
1.02,Premium,G,SI1,0.61,0.59,8.441,164.42092800000003
