weight,quality,color,clarity,table_percent,price,depth_percent
1.7,Very Good,J,SI1,0.59,2.2071749081893874,0.619
0.32,Ideal,I,VS2,0.55,1.8493992486744695,0.63
0.54,Premium,E,VS1,0.6,2.0625496740096176,0.627
0.34,Ideal,G,VS1,0.57,1.8838827581038609,0.605
1.22,Ideal,H,SI1,0.55,2.1939971525771464,0.619
0.7,Very Good,D,VS1,0.56,2.101569893752837,0.612
1.22,Premium,F,SI1,0.59,2.1789474525358674,0.618
1.61,Premium,D,SI1,0.6,2.2419854708651163,0.59
0.71,Very Good,E,VS2,0.58,2.0937142009665544,0.625
0.32,Very Good,I,SI1,0.58,1.7852382522377896,0.624
0.54,Ideal,E,SI1,0.55,2.0126337810982213,0.615
1.0,Ideal,I,SI2,0.56,2.091123046453674,0.625
0.3,Premium,G,VS1,0.6,1.895218177596285,0.618
1.0,Very Good,F,SI2,0.55,2.116496449630847,0.634
0.38,Ideal,E,IF,0.55,1.9834811505339247,0.627
0.42,Ideal,E,VS2,0.56,1.9360041029358477,0.621
0.74,Ideal,E,SI1,0.56,2.0706530356467567,0.617
0.7,Ideal,F,SI1,0.57,2.0425181875752383,0.619
0.61,Good,D,SI2,0.62,1.9825175603981098,0.598
1.21,Ideal,F,I1,0.56,2.1263251275786863,0.62
1.28,Ideal,G,SI1,0.56,2.1900880617668994,0.622
1.26,Very Good,G,SI1,0.58,2.1945543487803407,0.633
0.4,Premium,D,VS1,0.6,1.958685340544036,0.625
0.3,Premium,H,VVS1,0.59,1.8761006176618058,0.627
0.3,Ideal,I,VVS1,0.57,1.8816001732278445,0.613
0.81,Ideal,E,SI2,0.55,2.0843046973458237,0.621
0.32,Ideal,E,VS2,0.55,1.8800755502766229,0.627
0.51,Ideal,G,VS1,0.57,2.0057950015115376,0.624
0.76,Ideal,D,VS1,0.56,2.1263251275786863,0.617
0.44,Premium,G,SI1,0.6,1.931231514514649,0.61
0.72,Ideal,D,VS1,0.56,2.103524212195793,0.614
1.03,Ideal,D,SI2,0.56,2.136412437939462,0.628
0.6,Premium,G,SI1,0.6,2.002290482491421,0.618
0.7,Very Good,G,SI1,0.59,2.0451088625993306,0.63
1.1,Very Good,G,VVS1,0.6,2.211894227709542,0.614
0.3,Ideal,F,VS1,0.55,1.8861601446495393,0.613
0.78,Good,G,SI1,0.64,2.051170659712806,0.639
1.13,Premium,G,VVS1,0.59,2.2071749081893874,0.593
0.56,Ideal,D,SI1,0.57,1.9966032633708315,0.623
0.77,Premium,I,VS1,0.55,2.0584732352436395,0.626
0.51,Premium,I,VS2,0.55,1.9561433253353424,0.629
2.09,Good,J,VS2,0.64,2.236124726293776,0.572
0.36,Ideal,G,VVS1,0.57,1.9400357858627129,0.628
1.26,Ideal,E,VVS2,0.57,2.2584241972082757,0.611
0.33,Premium,H,IF,0.59,1.934126710514977,0.617
0.51,Very Good,I,SI1,0.55,1.9421889482534593,0.635
0.31,Premium,F,VS2,0.59,1.9001653430718415,0.629
0.71,Very Good,H,SI1,0.6,2.0445912642440898,0.607
0.35,Premium,E,SI1,0.59,1.897469923650169,0.611
0.31,Ideal,G,VVS1,0.57,1.894466467420318,0.612
0.3,Premium,I,VS1,0.6,1.8578592709325787,0.616
0.54,Ideal,D,VS2,0.56,2.0309075946839803,0.618
0.38,Ideal,I,VS2,0.55,1.8741072105768084,0.614
1.08,Very Good,F,VVS1,0.58,2.2225673850080145,0.61
1.28,Ideal,H,VVS1,0.55,2.205853904034274,0.617
1.08,Ideal,G,SI1,0.56,2.150016494349439,0.618
1.5,Premium,J,VS1,0.59,2.211675217634203,0.628
0.39,Very Good,D,VVS2,0.59,1.940466789389247,0.614
1.01,Very Good,H,SI1,0.58,2.1260865495028796,0.626
0.9,Premium,D,SI1,0.58,2.132508262616528,0.622
1.84,Premium,H,SI1,0.58,2.255493485460195,0.597
0.79,Premium,J,SI1,0.57,2.0407007133634054,0.591
1.61,Good,E,SI2,0.62,2.2286155727938715,0.609
1.12,Premium,G,IF,0.57,2.2103601489515285,0.609
0.31,Ideal,F,VVS2,0.56,1.8831224752420277,0.612
0.31,Ideal,G,VS1,0.56,1.8664030122238209,0.61
1.22,Premium,I,VS2,0.58,2.156286835376747,0.629
0.7,Good,F,VS2,0.61,2.061786606441115,0.629
1.07,Premium,F,SI2,0.59,2.133337695687363,0.618
0.33,Ideal,G,VS1,0.56,1.8794650496471605,0.614
0.4,Premium,D,VVS2,0.6,1.9724129689213126,0.607
0.5,Good,F,VS2,0.57,1.9837562915454279,0.633
0.5,Good,D,SI2,0.64,1.9264360392199344,0.585
0.56,Ideal,F,SI2,0.57,1.967671640836826,0.613
0.41,Ideal,D,VS2,0.57,1.9560019126221038,0.597
1.03,Premium,I,SI1,0.6,2.0916171176099696,0.584
0.54,Ideal,E,VS1,0.55,2.0159691187242625,0.626
0.3,Ideal,F,VS2,0.56,1.895218177596285,0.611
0.9,Premium,G,SI1,0.58,2.108514789165543,0.63
0.61,Ideal,I,SI2,0.57,1.9803115757726457,0.61
1.26,Very Good,H,SI2,0.57,2.1581371886281726,0.622
1.22,Premium,H,VS1,0.59,2.185264450417503,0.589
0.4,Premium,E,VS2,0.59,1.9192727895270145,0.593
0.34,Ideal,E,SI2,0.55,1.8112352457287118,0.613
1.0,Premium,H,VS2,0.58,2.1417118674059603,0.604
1.58,Ideal,E,SI1,0.57,2.2528695007481128,0.61
2.01,Ideal,I,SI1,0.6,2.27706213576296,0.599
0.32,Ideal,D,VS2,0.56,1.8917556223867307,0.61
2.0,Very Good,J,VS2,0.62,2.248762286296539,0.608
1.27,Ideal,E,VS1,0.57,2.2384731475268014,0.618
1.5,Very Good,F,SI1,0.58,2.2302294308019053,0.634
0.5,Ideal,F,SI2,0.57,1.9591083822199498,0.608
1.51,Ideal,I,SI1,0.59,2.200441619325342,0.611
0.62,Premium,G,VS2,0.55,2.0159691187242625,0.622
1.68,Premium,J,SI2,0.57,2.190871103364044,0.592
0.52,Ideal,G,VS1,0.54,2.0083482515715905,0.616
1.01,Very Good,E,SI1,0.59,2.142181571501022,0.634
1.28,Ideal,G,SI2,0.57,2.161136729409671,0.614
0.5,Ideal,H,VS2,0.55,2.0006688605144403,0.617
0.66,Very Good,G,VVS2,0.59,2.041350190557113,0.604
1.01,Very Good,F,VS2,0.56,2.166307074701418,0.627
0.31,Ideal,G,VS2,0.57,1.840390890639792,0.62
0.31,Ideal,F,IF,0.57,1.9533112645356236,0.601
0.58,Ideal,F,VVS1,0.57,2.068254196039259,0.616
0.4,Very Good,F,SI1,0.58,1.9142720437034468,0.631
0.9,Ideal,G,VS1,0.56,2.1540850846756014,0.621
1.5,Premium,F,SI1,0.6,2.20596405438962,0.621
1.17,Premium,D,VS1,0.59,2.2196381721731195,0.617
1.5,Very Good,D,VS1,0.63,2.2726412166209737,0.612
0.9,Very Good,E,SI1,0.6,2.1170985328569345,0.618
0.72,Good,F,VVS2,0.65,2.0861688624292625,0.613
0.71,Ideal,D,VS2,0.57,2.0856720914304723,0.604
1.56,Ideal,J,VS2,0.57,2.1931049923752246,0.624
0.71,Very Good,G,VS2,0.54,2.0608956243927374,0.631
0.52,Very Good,G,VVS1,0.58,2.0354896541506533,0.611
0.71,Very Good,J,VS1,0.58,2.0277534325210844,0.641
1.11,Ideal,I,SI1,0.57,2.1349945008000852,0.619
1.27,Premium,I,SI1,0.56,2.15709678624544,0.623
0.24,Very Good,D,SI1,0.55,1.8185636719801062,0.631
1.05,Very Good,H,SI2,0.59,2.12022353540007,0.63
1.01,Premium,G,SI2,0.6,2.1227404660749833,0.625
0.7,Premium,D,SI2,0.55,2.041999246203966,0.618
0.42,Premium,E,VS2,0.59,1.9264360392199344,0.609
0.34,Ideal,H,VVS1,0.56,1.890246415942709,0.611
1.11,Ideal,E,SI2,0.55,2.150132969802369,0.612
1.65,Very Good,J,SI1,0.58,2.194999882314108,0.615
0.81,Very Good,H,VS1,0.57,2.0844290831908747,0.636
0.81,Ideal,G,VVS2,0.551,2.1192630358665077,0.618
1.47,Fair,H,I1,0.59,2.139713160021404,0.667
2.08,Premium,I,SI2,0.58,2.2656098568691503,0.612
1.55,Ideal,I,VS2,0.56,2.211675217634203,0.626
0.32,Ideal,E,VVS2,0.54,1.8958191391528332,0.613
0.55,Ideal,E,VS2,0.55,2.0078112667285084,0.62
0.3,Premium,I,SI1,0.62,1.828894675890315,0.616
1.56,Very Good,J,SI1,0.58,2.187398683184928,0.596
0.7,Good,E,VS1,0.61,2.0781907597781832,0.61
0.3,Very Good,E,VS2,0.58,1.8657841045760284,0.615
0.33,Premium,G,VS2,0.58,1.888734928351441,0.6
0.72,Premium,E,SI2,0.58,2.036273046278457,0.618
0.7,Premium,G,VS1,0.62,2.0569402763333224,0.593
1.04,Very Good,D,VS1,0.59,2.1984460532529,0.623
0.34,Good,H,VS2,0.55,1.8383249383753757,0.632
1.02,Premium,H,SI1,0.6,2.1372386404060526,0.62
0.31,Good,E,SI1,0.57,1.840390890639792,0.634
1.12,Ideal,E,SI1,0.55,2.1716788231462467,0.616
1.0,Very Good,H,SI1,0.58,2.1410068973379905,0.619
0.33,Ideal,G,VS1,0.56,1.8719560112223317,0.621
0.55,Premium,G,SI1,0.56,1.972134688691327,0.621
1.2,Premium,H,VS1,0.58,2.1746380786634236,0.613
1.51,Premium,G,SI1,0.59,2.228077040818984,0.616
0.54,Very Good,E,VS2,0.58,2.007139629924431,0.612
0.32,Premium,I,VS1,0.58,1.8677941555040527,0.613
0.33,Premium,G,VS1,0.59,1.9095425048844386,0.614
0.54,Ideal,G,VVS2,0.56,2.027226770231097,0.621
0.3,Ideal,E,IF,0.55,1.9241026562157681,0.617
0.31,Premium,J,SI1,0.6,1.8151504220186307,0.609
0.41,Good,F,VS1,0.61,1.9157454490090462,0.58
0.72,Ideal,H,SI1,0.58,2.0550207671381537,0.622
0.43,Ideal,H,VVS1,0.56,1.9697661748707351,0.615
0.9,Very Good,F,SI1,0.56,2.1122716862705384,0.611
0.3,Fair,E,VVS2,0.54,1.852070316332157,0.666
1.01,Premium,G,VS2,0.58,2.165275142029439,0.624
1.5,Premium,G,SI2,0.6,2.182449291754065,0.621
0.56,Premium,E,VS2,0.57,2.018895041811802,0.611
0.33,Ideal,D,SI1,0.54,1.8578592709325787,0.624
0.5,Very Good,D,VS1,0.57,2.0078112667285084,0.631
1.2,Premium,G,VS1,0.59,2.1627481478062465,0.629
0.7,Very Good,I,SI1,0.55,2.037577337581137,0.622
0.38,Ideal,F,VS1,0.54,1.9323905989678005,0.624
0.43,Ideal,D,SI1,0.56,1.9416152247724325,0.615
0.42,Ideal,D,VVS2,0.55,1.9726911717329554,0.621
0.31,Ideal,E,VS2,0.56,1.9126487865035082,0.618
1.04,Very Good,F,SI2,0.58,2.120823379458605,0.623
1.26,Ideal,E,SI1,0.59,2.203427521460827,0.615
0.3,Ideal,D,SI1,0.55,1.8427693901358,0.622
1.56,Premium,E,VS2,0.58,2.241347783522856,0.615
0.43,Premium,F,VS2,0.57,1.927891643552635,0.61
0.5,Good,F,SI1,0.61,1.9603764345208963,0.596
0.27,Very Good,G,VVS1,0.55,1.8467210273020294,0.628
0.78,Very Good,D,VS2,0.56,2.1049874486475746,0.622
0.53,Good,E,VS1,0.56,2.0125001359259542,0.632
1.06,Ideal,G,SI2,0.58,2.1418293141146516,0.621
0.4,Very Good,F,VS1,0.59,1.9233723560299472,0.631
0.59,Ideal,G,SI1,0.56,1.9778240123008441,0.635
1.08,Very Good,E,SI2,0.56,2.1069351059887587,0.635
1.21,Ideal,H,VS2,0.55,2.1610215286722587,0.628
0.4,Premium,D,SI1,0.58,1.931231514514649,0.617
0.41,Ideal,D,SI2,0.57,1.9073178098623274,0.626
0.32,Ideal,D,SI1,0.54,1.8913030995643165,0.627
0.58,Premium,E,SI1,0.55,1.9808635283187406,0.585
1.1,Very Good,J,SI2,0.58,2.1236976329343733,0.618
0.71,Good,F,VS1,0.61,2.060131293145336,0.58
0.33,Very Good,F,VS1,0.6,1.894466467420318,0.591
0.25,Premium,E,VS1,0.6,1.8041819892266122,0.615
0.25,Ideal,E,VS2,0.57,1.8376884011164547,0.619
1.0,Premium,D,SI1,0.59,2.1609063146621077,0.625
0.7,Very Good,F,VS1,0.59,2.0824370506596344,0.628
0.32,Ideal,G,VS2,0.56,1.8838827581038609,0.614
0.51,Ideal,E,VS1,0.56,2.0111627009265414,0.627
1.51,Ideal,H,VS2,0.57,2.2358040593036943,0.622
2.03,Very Good,G,SI1,0.59,2.2836061263962426,0.613
1.02,Ideal,I,SI1,0.56,2.1357037206879688,0.62
1.04,Very Good,G,SI1,0.59,2.1437065879265575,0.618
0.37,Ideal,F,VVS1,0.56,1.9222027652533444,0.615
0.43,Ideal,G,VS1,0.55,1.9241026562157681,0.619
0.3,Ideal,G,VVS2,0.57,1.9088014896597192,0.618
0.5,Good,J,SI1,0.6,1.9265816950355004,0.596
1.56,Premium,G,SI2,0.59,2.2070648911366333,0.617
0.71,Very Good,E,VS1,0.57,2.080565909341545,0.621
1.25,Ideal,H,SI2,0.54,2.139713160021404,0.615
0.38,Ideal,H,SI2,0.54,1.8300181813451453,0.612
0.94,Premium,F,SI2,0.59,2.122261538862764,0.622
0.35,Ideal,F,VS2,0.55,1.8809906029559975,0.614
0.3,Very Good,H,SI1,0.63,1.8282521055870808,0.587
0.41,Ideal,F,VS2,0.57,1.9110228900548727,0.618
0.31,Ideal,G,VVS1,0.55,1.8977697737273784,0.62
0.32,Premium,F,IF,0.58,1.943764992708925,0.588
0.36,Premium,H,VS2,0.59,1.8858567926071705,0.609
1.54,Good,H,VS1,0.57,2.228292488412191,0.631
0.41,Premium,E,SI2,0.58,1.8757941981711288,0.621
2.01,Ideal,G,SI2,0.55,2.2799304024292395,0.609
0.66,Very Good,H,VS1,0.581,2.0268315914075385,0.615
1.02,Fair,I,SI2,0.57,2.1093643553310906,0.655
0.52,Ideal,H,VVS1,0.57,2.0150363449874993,0.612
1.01,Good,G,VVS2,0.59,2.186051276738094,0.624
1.59,Premium,H,SI1,0.58,2.2067347673372115,0.61
0.6,Ideal,G,VVS2,0.57,2.0491111918720017,0.62
0.26,Ideal,E,VS1,0.55,1.8105812234686427,0.618
0.42,Ideal,I,VS1,0.55,1.8946168546677629,0.62
0.8,Very Good,J,SI1,0.56,2.0421290067958564,0.616
2.01,Fair,J,VS1,0.54,2.2591555350667094,0.666
1.76,Very Good,J,SI2,0.6,2.2094824747317214,0.609
1.63,Good,F,SI1,0.6,2.229691767473721,0.577
1.24,Ideal,J,SI2,0.57,2.136884637216327,0.601
0.58,Ideal,G,SI2,0.55,1.9672522070662588,0.615
0.74,Ideal,G,SI1,0.57,2.0855478601115967,0.613
0.36,Ideal,H,VS2,0.57,1.8523840910444898,0.614
0.3,Very Good,F,VS2,0.57,1.8570789353486976,0.629
0.71,Very Good,E,SI1,0.58,2.0577070495338297,0.631
1.34,Premium,G,VS2,0.59,2.2123321040164834,0.607
1.01,Premium,E,SI2,0.58,2.1339297269639057,0.616
0.41,Ideal,G,VS2,0.56,1.9411847160479818,0.627
0.9,Very Good,D,SI1,0.59,2.128707782982754,0.628
0.31,Ideal,G,VVS1,0.56,1.894466467420318,0.609
0.37,Premium,F,SI2,0.6,1.8619072291301368,0.602
2.01,Ideal,J,SI1,0.57,2.245167822124095,0.623
0.71,Premium,D,VS2,0.59,2.0726686573924074,0.612
1.52,Fair,H,SI1,0.55,2.187623074524364,0.646
2.22,Premium,F,SI2,0.59,2.2527643980100898,0.592
0.47,Very Good,F,SI1,0.61,1.9357155026452442,0.611
1.0,Fair,E,SI1,0.62,2.119623331312668,0.663
2.25,Premium,I,SI2,0.59,2.2317333520220948,0.619
0.55,Ideal,J,SI1,0.57,1.9463386286733806,0.609
0.38,Ideal,G,VVS2,0.536,1.9219101536931,0.622
1.51,Good,G,VS2,0.54,2.2366589428778787,0.642
1.21,Ideal,I,VS1,0.58,2.168710784437718,0.605
1.0,Good,E,VVS1,0.59,2.2006631032686617,0.639
0.33,Premium,E,SI1,0.59,1.888734928351441,0.604
1.39,Premium,G,SI1,0.59,2.193662685769859,0.613
1.5,Very Good,H,SI2,0.63,2.1853768920885046,0.62
0.53,Ideal,G,VS1,0.57,2.013702299965746,0.615
0.3,Premium,E,SI1,0.58,1.8741072105768084,0.623
0.3,Premium,I,VVS2,0.6,1.8349785883480316,0.61
0.6,Ideal,E,VS2,0.56,2.0400508140749167,0.612
0.5,Premium,H,SI2,0.58,1.9264360392199344,0.61
0.61,Ideal,G,VS1,0.56,2.0387497470165448,0.621
0.46,Ideal,J,VVS1,0.56,1.9352824459802302,0.625
2.01,Good,H,SI1,0.58,2.27469988950451,0.622
1.07,Ideal,I,SI1,0.57,2.1583682422336365,0.616
1.01,Very Good,H,SI2,0.57,2.1024253780702113,0.634
0.41,Ideal,G,SI2,0.57,1.906426544206181,0.61
0.45,Premium,E,VS1,0.6,1.9679511656464728,0.608
0.42,Ideal,I,VVS1,0.57,1.9145668984896018,0.625
0.92,Ideal,I,SI1,0.57,2.0929745559624204,0.618
1.01,Good,E,VS2,0.59,2.1803044582852134,0.639
0.23,Very Good,D,VVS2,0.59,1.8362547091146062,0.604
0.54,Ideal,F,VS2,0.57,2.0002630438027498,0.628
0.55,Very Good,E,VVS2,0.56,2.051941867977251,0.603
0.4,Ideal,E,VVS1,0.57,1.9798974113434495,0.624
0.78,Very Good,H,SI2,0.56,2.0491111918720017,0.631
0.9,Very Good,F,SI2,0.56,2.094576429264106,0.626
0.52,Very Good,D,VS2,0.57,2.0163686127038747,0.635
0.7,Good,F,VVS2,0.58,2.0680013515372804,0.631
0.9,Good,H,VS1,0.59,2.124414907322567,0.635
0.9,Good,H,SI1,0.61,2.0974042420540084,0.621
1.51,Good,H,SI1,0.61,2.2070648911366333,0.622
1.0,Good,F,SI1,0.58,2.1406542258478254,0.636
1.08,Ideal,G,VS2,0.55,2.1797392629952,0.618
1.72,Good,F,SI1,0.61,2.252343876557299,0.632
0.38,Ideal,F,SI2,0.56,1.904790491190101,0.607
0.9,Good,F,VS2,0.55,2.124414907322567,0.638
0.36,Very Good,H,VS2,0.55,1.851285448542082,0.61
0.91,Ideal,F,SI2,0.56,2.133337695687363,0.62
0.37,Premium,G,SI1,0.6,1.88129543453891,0.621
0.9,Premium,F,SI2,0.54,2.0977724983645594,0.611
0.5,Ideal,E,VS2,0.56,2.020885092219812,0.604
1.51,Ideal,G,VVS2,0.55,2.2616589263813998,0.623
0.32,Ideal,H,VS2,0.55,1.8341801851120072,0.612
0.51,Very Good,I,VS2,0.56,1.9514661146259946,0.633
0.41,Ideal,G,VS2,0.56,1.9411847160479818,0.627
0.9,Very Good,E,SI2,0.54,2.097527009226221,0.642
2.01,Ideal,I,SI2,0.55,2.2429412400665307,0.621
0.32,Ideal,H,VVS1,0.55,1.923080086555413,0.619
2.0,Good,G,VS2,0.55,2.2815657257699704,0.641
0.91,Premium,D,SI1,0.57,2.1221417712118633,0.628
0.71,Premium,F,VVS1,0.58,2.0938374219635683,0.581
1.53,Ideal,F,SI1,0.57,2.2355902241697674,0.625
1.19,Premium,H,SI1,0.59,2.157328080336907,0.608
0.62,Fair,F,SI1,0.66,2.0018853234609613,0.551
1.2,Very Good,I,SI1,0.57,2.1469833608994726,0.629
0.7,Ideal,E,SI1,0.56,2.0932211650882078,0.616
0.39,Very Good,G,VVS1,0.58,1.9095425048844386,0.627
0.33,Ideal,H,IF,0.55,1.9119100703585168,0.619
0.53,Ideal,E,VVS2,0.54,2.044979488124734,0.622
0.34,Premium,E,VS2,0.59,1.8890374086925255,0.61
1.02,Premium,F,VVS2,0.59,2.206074192613202,0.609
0.5,Fair,F,I1,0.57,1.8626838075647536,0.67
0.55,Ideal,G,VVS2,0.56,2.024853351395433,0.604
0.3,Ideal,G,IF,0.55,1.9110228900548727,0.623
0.31,Ideal,G,VVS1,0.56,1.9391732211168808,0.612
0.77,Good,E,VS2,0.57,2.091740597266853,0.634
0.55,Good,F,SI1,0.579,1.9801735400211669,0.642
0.9,Good,D,VS2,0.58,2.1342847775623452,0.658
0.3,Premium,I,VS1,0.61,1.8578592709325787,0.588
1.26,Premium,J,SI1,0.58,2.143940999554448,0.618
0.8,Ideal,F,VS2,0.56,2.116857743065258,0.621
0.73,Premium,E,SI1,0.58,2.067115891989199,0.627
0.27,Very Good,H,VVS2,0.55,1.8282521055870808,0.626
0.5,Very Good,D,SI1,0.61,1.9837562915454279,0.619
1.0,Very Good,G,SI2,0.63,2.1065702090680887,0.631
0.9,Fair,I,VVS2,0.56,2.0833090532063254,0.67
0.52,Ideal,H,VS1,0.56,1.9983670519021652,0.621
0.75,Very Good,E,VS2,0.56,2.1098494978512186,0.604
0.71,Very Good,E,SI2,0.63,2.0506561902480827,0.619
0.4,Very Good,D,SI1,0.57,1.9211782499789523,0.631
1.56,Ideal,I,VVS2,0.56,2.225380022085074,0.621
0.29,Very Good,F,VVS1,0.58,1.8714944372469087,0.623
0.9,Very Good,D,VS1,0.56,2.158483749019789,0.63
1.03,Ideal,F,VS1,0.55,2.1923236987365082,0.59
1.07,Very Good,D,SI1,0.55,2.163323025660538,0.602
0.28,Very Good,E,VVS1,0.59,1.8664030122238209,0.596
0.59,Ideal,G,VS2,0.54,2.003774662754421,0.626
0.9,Ideal,D,SI2,0.57,2.1152911945735333,0.627
0.43,Very Good,H,VVS1,0.55,1.961080213844758,0.602
2.0,Very Good,H,SI1,0.59,2.2808506008480394,0.633
1.01,Premium,H,SI1,0.58,2.089144317141221,0.629
1.33,Ideal,G,VS1,0.55,2.2260279702718906,0.62
0.31,Ideal,D,SI1,0.56,1.8761006176618058,0.62
0.41,Ideal,E,VVS2,0.56,1.9636097261547143,0.623
1.51,Premium,I,VS1,0.59,2.214846178686039,0.63
0.3,Premium,I,VS1,0.58,1.8578592709325787,0.617
0.4,Good,J,VS1,0.58,1.863614906328483,0.634
1.04,Fair,G,VS1,0.58,2.155939512652561,0.649
2.33,Premium,J,SI1,0.59,2.261346344977448,0.599
0.35,Ideal,D,VS2,0.57,1.9050881545350582,0.609
1.26,Premium,I,SI2,0.59,2.145580344183881,0.601
0.4,Premium,D,VS2,0.59,1.9397483469415042,0.617
0.71,Good,I,VVS2,0.56,2.0454968856268985,0.637
0.71,Premium,E,VVS1,0.6,2.1086361999591117,0.627
1.12,Ideal,F,VVS2,0.57,2.2162643865275187,0.614
1.74,Ideal,J,VS1,0.56,2.2324844653145566,0.611
0.73,Premium,E,VS2,0.57,2.073926360991726,0.62
0.71,Ideal,F,SI2,0.55,2.0584732352436395,0.614
0.4,Ideal,E,VS2,0.56,1.9192727895270145,0.611
0.41,Very Good,H,SI1,0.61,1.8757941981711288,0.6
0.38,Premium,F,VVS1,0.58,1.9651523952777084,0.592
1.33,Good,I,VS1,0.56,2.1801914447799793,0.637
0.4,Ideal,G,VVS1,0.53,1.940897607231769,0.618
0.7,Very Good,I,VVS1,0.58,2.0578347879257772,0.629
0.37,Ideal,G,IF,0.56,1.9214710757497122,0.605
0.59,Premium,F,SI1,0.6,2.036142523534684,0.622
0.54,Premium,F,SI1,0.58,2.0060640718750604,0.623
0.7,Very Good,G,VS2,0.58,2.0466600521554565,0.631
0.91,Very Good,H,SI1,0.6,2.1155323618241897,0.592
0.31,Good,F,VVS2,0.55,1.8705706496523449,0.636
0.33,Very Good,G,VVS1,0.6,1.9119100703585168,0.614
0.34,Ideal,I,SI1,0.56,1.8130316045035946,0.624
1.1,Ideal,G,VVS2,0.56,2.211456159582944,0.605
0.5,Very Good,G,SI1,0.63,1.9584032133027798,0.6
0.31,Premium,G,VS2,0.59,1.840390890639792,0.599
0.27,Very Good,D,VS1,0.55,1.8169397677583532,0.632
0.31,Premium,I,SI1,0.58,1.8383249383753757,0.623
0.5,Good,F,VS2,0.61,1.9847186893649493,0.628
1.26,Premium,G,SI2,0.59,2.161367091078508,0.591
1.41,Good,H,VS2,0.6,2.211894227709542,0.638
0.58,Ideal,F,VS1,0.57,2.0268315914075385,0.612
0.53,Premium,D,SI1,0.58,1.9955163067420747,0.614
0.72,Very Good,I,SI2,0.56,2.0219448353313108,0.634
0.32,Ideal,J,VS2,0.57,1.7874167197939181,0.622
0.3,Very Good,H,VS2,0.58,1.817914426704906,0.626
1.31,Ideal,G,VS1,0.56,2.2213750375685026,0.619
0.53,Ideal,H,SI1,0.56,1.9433354086828443,0.626
0.34,Premium,G,SI1,0.59,1.86825744020078,0.597
1.0,Very Good,E,SI1,0.6,2.1606758468113525,0.601
0.53,Ideal,E,SI2,0.57,1.9620646735262635,0.608
0.5,Ideal,H,VS2,0.56,1.9847186893649493,0.606
1.43,Premium,D,VS2,0.59,2.2552838198760328,0.626
0.52,Premium,F,I1,0.56,1.912205622303922,0.63
0.3,Very Good,I,SI1,0.57,1.7825505301427451,0.625
0.41,Good,H,VS2,0.57,1.8858567926071705,0.641
0.7,Good,D,VS2,0.62,2.0692649352282753,0.58
